positionID,maternalID,paternalID,position,row,block,Germ,flw,total.pods,total.pods.collected,totalseeds,cohort,year,seedpool
75,129,149,29.2,100,1A,0,0,0,0,0,greenhouse,2015,NA
76,128,44,30.8,100,1A,0,0,0,0,0,greenhouse,2015,NA
77,128,44,30.9,100,1A,0,0,0,0,0,greenhouse,2015,NA
78,128,44,31,100,1A,0,0,0,0,0,greenhouse,2015,NA
79,128,44,31.1,100,1A,0,0,0,0,0,greenhouse,2015,NA
80,128,44,31.2,100,1A,0,0,0,0,0,greenhouse,2015,NA
81,21,58,32.8,100,1A,1,1,1,1,12,greenhouse,2015,NA
82,21,58,32.9,100,1A,0,0,0,0,0,greenhouse,2015,NA
83,21,58,33,100,1A,1,1,4,2,17,greenhouse,2015,NA
84,21,58,33.1,100,1A,0,0,0,0,0,greenhouse,2015,NA
85,21,58,33.2,100,1A,0,0,0,0,0,greenhouse,2015,NA
86,86,115,34.8,100,1A,0,0,0,0,0,greenhouse,2015,NA
87,86,115,34.9,100,1A,0,0,0,0,0,greenhouse,2015,NA
88,86,115,35,100,1A,0,0,0,0,0,greenhouse,2015,NA
89,86,115,35.1,100,1A,1,1,0,0,0,greenhouse,2015,NA
90,86,115,35.2,100,1A,0,0,0,0,0,greenhouse,2015,NA
91,73,8,36.8,100,1A,0,0,0,0,0,greenhouse,2015,NA
92,73,8,36.9,100,1A,0,0,0,0,0,greenhouse,2015,NA
93,73,8,37,100,1A,0,0,0,0,0,greenhouse,2015,NA
94,73,8,37.1,100,1A,0,0,0,0,0,greenhouse,2015,NA
95,73,8,37.2,100,1A,0,0,0,0,0,greenhouse,2015,NA
96,52,126,38.8,100,1A,1,1,13,3,22,greenhouse,2015,NA
97,52,126,38.9,100,1A,0,0,0,0,0,greenhouse,2015,NA
98,52,126,39,100,1A,0,0,0,0,0,greenhouse,2015,NA
99,52,126,39.1,100,1A,0,0,0,0,0,greenhouse,2015,NA
100,52,126,39.2,100,1A,1,1,0,0,0,greenhouse,2015,NA
101,165,81,40.8,100,1A,0,0,0,0,0,greenhouse,2015,NA
102,165,81,40.9,100,1A,0,0,0,0,0,greenhouse,2015,NA
103,165,81,41,100,1A,0,0,0,0,0,greenhouse,2015,NA
104,165,81,41.1,100,1A,0,0,0,0,0,greenhouse,2015,NA
105,165,81,41.2,100,1A,0,0,0,0,0,greenhouse,2015,NA
106,150,119,42.8,100,1A,0,0,0,0,0,greenhouse,2015,NA
107,150,119,42.9,100,1A,0,0,0,0,0,greenhouse,2015,NA
108,150,119,43,100,1A,0,0,0,0,0,greenhouse,2015,NA
109,150,119,43.1,100,1A,0,0,0,0,0,greenhouse,2015,NA
110,150,119,43.2,100,1A,0,0,0,0,0,greenhouse,2015,NA
111,75,36,44.8,100,1A,0,0,0,0,0,greenhouse,2015,NA
112,75,36,44.9,100,1A,0,0,0,0,0,greenhouse,2015,NA
113,75,36,45,100,1A,0,0,0,0,0,greenhouse,2015,NA
114,75,36,45.1,100,1A,0,0,0,0,0,greenhouse,2015,NA
115,75,36,45.2,100,1A,0,0,0,0,0,greenhouse,2015,NA
116,113,99,46.8,100,1A,0,0,0,0,0,greenhouse,2015,NA
117,113,99,46.9,100,1A,0,0,0,0,0,greenhouse,2015,NA
118,113,99,47,100,1A,0,0,0,0,0,greenhouse,2015,NA
119,113,99,47.1,100,1A,0,0,0,0,0,greenhouse,2015,NA
120,113,99,47.2,100,1A,0,0,0,0,0,greenhouse,2015,NA
121,75,36,48.8,100,1A,0,0,0,0,0,greenhouse,2015,NA
122,75,36,48.9,100,1A,0,0,0,0,0,greenhouse,2015,NA
123,75,36,49,100,1A,0,0,0,0,0,greenhouse,2015,NA
124,75,36,49.1,100,1A,0,0,0,0,0,greenhouse,2015,NA
125,75,36,49.2,100,1A,0,0,0,0,0,greenhouse,2015,NA
126,13,139,0.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
127,13,139,0.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
128,13,139,1,212,2A,0,0,0,0,0,greenhouse,2015,NA
129,13,139,1.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
130,13,139,1.2,212,2A,0,0,0,0,0,greenhouse,2015,NA
131,40,127,2.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
132,40,127,2.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
133,40,127,3,212,2A,0,0,0,0,0,greenhouse,2015,NA
134,40,127,3.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
135,40,127,3.2,212,2A,1,0,0,0,0,greenhouse,2015,NA
136,77,38,4.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
137,77,38,4.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
138,77,38,5,212,2A,0,0,0,0,0,greenhouse,2015,NA
139,77,38,5.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
140,77,38,5.2,212,2A,0,0,0,0,0,greenhouse,2015,NA
141,153,36,6.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
142,153,36,6.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
143,153,36,7,212,2A,0,0,0,0,0,greenhouse,2015,NA
144,153,36,7.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
145,153,36,7.2,212,2A,0,0,0,0,0,greenhouse,2015,NA
146,121,166,8.8,212,2A,1,1,5,1,4,greenhouse,2015,NA
147,121,166,8.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
148,121,166,9,212,2A,0,0,0,0,0,greenhouse,2015,NA
149,121,166,9.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
150,121,166,9.2,212,2A,1,1,0,0,0,greenhouse,2015,NA
151,88,124,10.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
152,88,124,10.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
153,88,124,11,212,2A,0,0,0,0,0,greenhouse,2015,NA
154,88,124,11.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
