block,position,row,maternalID,paternalID,Germ,flw,total.pods,total.pods.collected,totalseeds,cohort,year
1A,0.8,100,0,0,0,0,0,0,0,greenhouse,2015
1A,0.9,100,0,0,0,0,0,0,0,greenhouse,2015
1A,1,100,0,0,0,0,0,0,0,greenhouse,2015
1A,1.1,100,0,0,0,0,0,0,0,greenhouse,2015
1A,1.2,100,0,0,0,0,0,0,0,greenhouse,2015
1A,2.8,100,0,0,0,0,0,0,0,greenhouse,2015
1A,2.9,100,0,0,0,0,0,0,0,greenhouse,2015
1A,3,100,0,0,0,0,0,0,0,greenhouse,2015
1A,3.1,100,0,0,0,0,0,0,0,greenhouse,2015
1A,3.2,100,0,0,0,0,0,0,0,greenhouse,2015
1A,4.8,100,0,0,0,0,0,0,0,greenhouse,2015
1A,4.9,100,0,0,0,0,0,0,0,greenhouse,2015
1A,5,100,0,0,0,0,0,0,0,greenhouse,2015
1A,5.1,100,0,0,0,0,0,0,0,greenhouse,2015
1A,5.2,100,0,0,0,0,0,0,0,greenhouse,2015
1A,6.8,100,0,0,0,0,0,0,0,greenhouse,2015
1A,6.9,100,0,0,0,0,0,0,0,greenhouse,2015
1A,7,100,0,0,0,0,0,0,0,greenhouse,2015
1A,7.1,100,0,0,0,0,0,0,0,greenhouse,2015
1A,7.2,100,0,0,0,0,0,0,0,greenhouse,2015
1A,8.8,100,0,0,0,0,0,0,0,greenhouse,2015
1A,8.9,100,0,0,0,0,0,0,0,greenhouse,2015
1A,9,100,0,0,0,0,0,0,0,greenhouse,2015
1A,9.1,100,0,0,0,0,0,0,0,greenhouse,2015
1A,9.2,100,0,0,0,0,0,0,0,greenhouse,2015
1A,10.8,100,0,0,0,0,0,0,0,greenhouse,2015
1A,10.9,100,0,0,0,0,0,0,0,greenhouse,2015
1A,11,100,0,0,0,0,0,0,0,greenhouse,2015
1A,11.1,100,0,0,0,0,0,0,0,greenhouse,2015
1A,11.2,100,0,0,0,0,0,0,0,greenhouse,2015
1A,12.8,100,0,0,0,0,0,0,0,greenhouse,2015
1A,12.9,100,0,0,0,0,0,0,0,greenhouse,2015
1A,13,100,0,0,0,0,0,0,0,greenhouse,2015
1A,13.1,100,0,0,0,0,0,0,0,greenhouse,2015
1A,13.2,100,0,0,0,0,0,0,0,greenhouse,2015
1A,14.8,100,0,0,0,0,0,0,0,greenhouse,2015
1A,14.9,100,0,0,0,0,0,0,0,greenhouse,2015
1A,15,100,0,0,0,0,0,0,0,greenhouse,2015
1A,15.1,100,0,0,0,0,0,0,0,greenhouse,2015
1A,15.2,100,0,0,0,0,0,0,0,greenhouse,2015
1A,16.8,100,0,0,0,0,0,0,0,greenhouse,2015
1A,16.9,100,0,0,0,0,0,0,0,greenhouse,2015
1A,17,100,0,0,0,0,0,0,0,greenhouse,2015
1A,17.1,100,0,0,0,0,0,0,0,greenhouse,2015
1A,17.2,100,0,0,0,0,0,0,0,greenhouse,2015
1A,18.8,100,0,0,0,0,0,0,0,greenhouse,2015
1A,18.9,100,0,0,0,0,0,0,0,greenhouse,2015
1A,19,100,0,0,0,0,0,0,0,greenhouse,2015
1A,19.1,100,0,0,0,0,0,0,0,greenhouse,2015
1A,19.2,100,0,0,0,0,0,0,0,greenhouse,2015
1A,20.8,100,4,98,0,0,0,0,0,greenhouse,2015
1A,20.9,100,4,98,0,0,0,0,0,greenhouse,2015
1A,21,100,4,98,0,0,0,0,0,greenhouse,2015
1A,21.1,100,4,98,0,0,0,0,0,greenhouse,2015
1A,21.2,100,4,98,1,0,0,0,0,greenhouse,2015
1A,22.8,100,11,27,1,0,0,0,0,greenhouse,2015
1A,22.9,100,11,27,1,1,1,1,0,greenhouse,2015
1A,23,100,11,27,0,0,0,0,0,greenhouse,2015
1A,23.1,100,11,27,1,0,0,0,0,greenhouse,2015
1A,23.2,100,11,27,1,0,0,0,0,greenhouse,2015
1A,24.8,100,57,96,0,0,0,0,0,greenhouse,2015
1A,24.9,100,57,96,1,0,0,0,0,greenhouse,2015
1A,25,100,57,96,0,0,0,0,0,greenhouse,2015
1A,25.1,100,57,96,1,1,3,3,23,greenhouse,2015
1A,25.2,100,57,96,1,0,0,0,0,greenhouse,2015
1A,26.8,100,64,21,0,0,0,0,0,greenhouse,2015
1A,26.9,100,64,21,0,0,0,0,0,greenhouse,2015
1A,27,100,64,21,0,0,0,0,0,greenhouse,2015
1A,27.1,100,64,21,0,0,0,0,0,greenhouse,2015
1A,27.2,100,64,21,0,0,0,0,0,greenhouse,2015
1A,28.8,100,22,31,0,0,0,0,0,greenhouse,2015
1A,28.9,100,22,31,0,0,0,0,0,greenhouse,2015
1A,29,100,22,31,0,0,0,0,0,greenhouse,2015
1A,29.1,100,22,31,0,0,0,0,0,greenhouse,2015
1A,29.2,100,22,31,0,0,0,0,0,greenhouse,2015
1A,30.8,100,16,43,0,0,0,0,0,greenhouse,2015
1A,30.9,100,16,43,0,0,0,0,0,greenhouse,2015
1A,31,100,16,43,0,0,0,0,0,greenhouse,2015
1A,31.1,100,16,43,1,0,0,0,0,greenhouse,2015
1A,31.2,100,16,43,1,1,1,1,0,greenhouse,2015
1A,32.8,100,71,35,0,0,0,0,0,greenhouse,2015
1A,32.9,100,71,35,0,0,0,0,0,greenhouse,2015
1A,33,100,71,35,1,0,0,0,0,greenhouse,2015
1A,33.1,100,71,35,0,0,0,0,0,greenhouse,2015
1A,33.2,100,71,35,0,0,0,0,0,greenhouse,2015
1A,34.8,100,82,42,0,0,0,0,0,greenhouse,2015
1A,34.9,100,82,42,0,0,0,0,0,greenhouse,2015
1A,35,100,82,42,0,0,0,0,0,greenhouse,2015
1A,35.1,100,82,42,0,0,0,0,0,greenhouse,2015
1A,35.2,100,82,42,0,0,0,0,0,greenhouse,2015
1A,36.8,100,53,31,0,0,0,0,0,greenhouse,2015
1A,36.9,100,53,31,1,0,0,0,0,greenhouse,2015
1A,37,100,53,31,0,0,0,0,0,greenhouse,2015
1A,37.1,100,53,31,0,0,0,0,0,greenhouse,2015
1A,37.2,100,53,31,0,0,0,0,0,greenhouse,2015
1A,38.8,100,5,21,0,0,0,0,0,greenhouse,2015
1A,38.9,100,5,21,0,0,0,0,0,greenhouse,2015
1A,39,100,5,21,0,0,0,0,0,greenhouse,2015
1A,39.1,100,5,21,0,0,0,0,0,greenhouse,2015
1A,39.2,100,5,21,0,0,0,0,0,greenhouse,2015
1A,40.8,100,58,89,0,0,0,0,0,greenhouse,2015
1A,40.9,100,58,89,0,0,0,0,0,greenhouse,2015
1A,41,100,58,89,0,0,0,0,0,greenhouse,2015
1A,41.1,100,58,89,0,0,0,0,0,greenhouse,2015
1A,41.2,100,58,89,0,0,0,0,0,greenhouse,2015
1A,42.8,100,71,35,0,0,0,0,0,greenhouse,2015
1A,42.9,100,71,35,0,0,0,0,0,greenhouse,2015
1A,43,100,71,35,0,0,0,0,0,greenhouse,2015
1A,43.1,100,71,35,0,0,0,0,0,greenhouse,2015
1A,43.2,100,71,35,0,0,0,0,0,greenhouse,2015
1A,44.8,100,54,25,0,0,0,0,0,greenhouse,2015
